Index Name,Date,Open,High,Low,Close
NIFTY 500,06-08-2025,22807.55,22818.2,22622.35,22666.85
NIFTY 500,07-08-2025,22563.4,22726.9,22425.85,22694.1
NIFTY 500,08-08-2025,22680.9,22690.35,22419.7,22443.15
NIFTY 500,11-08-2025,22447.55,22650.1,22406.0,22633.45
NIFTY 500,12-08-2025,22633.65,22730.25,22554.3,22568.6
NIFTY 500,13-08-2025,22655.15,22733.8,22624.45,22698.1
NIFTY 500,14-08-2025,22713.65,22754.15,22646.7,22680.25
NIFTY 500,18-08-2025,22958.3,23040.85,22913.05,22931.5
NIFTY 500,19-08-2025,22959.5,23077.1,22908.15,23066.6
NIFTY 500,20-08-2025,23067.7,23171.15,23025.85,23143.15
NIFTY 500,21-08-2025,23221.75,23230.95,23126.75,23137.15
NIFTY 500,22-08-2025,23133.85,23144.55,22980.85,22991.3
NIFTY 500,25-08-2025,23069.3,23106.9,23022.1,23052.0
NIFTY 500,26-08-2025,22994.85,23013.05,22746.75,22768.65
NIFTY 500,28-08-2025,22762.25,22762.25,22529.6,22541.65
NIFTY 500,29-08-2025,22524.15,22624.7,22443.8,22462.95
NIFTY 500,01-09-2025,22491.9,22720.55,22491.9,22713.55
NIFTY 500,02-09-2025,22758.2,22858.2,22678.45,22724.4
NIFTY 500,03-09-2025,22764.0,22877.35,22709.2,22864.65
NIFTY 500,04-09-2025,23116.9,23116.9,22795.0,22819.65
NIFTY 500,05-09-2025,22891.75,22916.0,22718.5,22829.15
NIFTY 500,08-09-2025,22892.8,22974.85,22835.9,22878.65
NIFTY 500,09-09-2025,22949.55,22964.05,22893.05,22949.1
NIFTY 500,10-09-2025,23056.8,23121.75,23027.05,23074.15
NIFTY 500,11-09-2025,23073.45,23128.55,23065.7,23102.65
NIFTY 500,12-09-2025,23171.55,23210.4,23129.9,23190.25
NIFTY 500,15-09-2025,23213.15,23249.2,23182.05,23215.85
NIFTY 500,16-09-2025,23240.25,23386.65,23217.3,23369.3
NIFTY 500,17-09-2025,23419.1,23464.4,23395.75,23445.2
NIFTY 500,18-09-2025,23534.15,23538.9,23434.45,23518.9
NIFTY 500,19-09-2025,23530.6,23541.3,23451.6,23486.65
NIFTY 500,22-09-2025,23434.75,23523.55,23335.1,23381.45
NIFTY 500,23-09-2025,23408.2,23434.3,23253.1,23325.25
NIFTY 500,24-09-2025,23293.4,23317.2,23165.95,23178.25
NIFTY 500,25-09-2025,23169.45,23235.55,23009.55,23022.4
NIFTY 500,26-09-2025,22965.9,22994.15,22692.7,22713.15
NIFTY 500,29-09-2025,22783.9,22865.1,22677.0,22739.1
NIFTY 500,30-09-2025,22793.65,22829.2,22669.3,22734.1
NIFTY 500,01-10-2025,22745.95,22943.2,22726.25,22928.3
NIFTY 500,03-10-2025,22905.1,23037.5,22874.15,23027.7
NIFTY 500,06-10-2025,23055.15,23177.25,23008.3,23169.65
NIFTY 500,07-10-2025,23191.35,23275.1,23170.85,23209.5
NIFTY 500,08-10-2025,23197.95,23265.2,23087.9,23109.35
NIFTY 500,09-10-2025,23144.3,23251.65,23101.85,23241.75
NIFTY 500,10-10-2025,23247.45,23374.25,23220.05,23337.55
NIFTY 500,13-10-2025,23245.05,23315.65,23201.55,23294.8
NIFTY 500,14-10-2025,23349.75,23374.0,23121.5,23184.05
NIFTY 500,15-10-2025,23227.55,23400.95,23224.15,23377.35
NIFTY 500,16-10-2025,23443.3,23592.85,23428.15,23563.8
NIFTY 500,17-10-2025,23547.0,23679.05,23515.85,23598.05
NIFTY 500,20-10-2025,23699.35,23766.55,23654.75,23716.1
